,mal_user,series_title,series_type,series_episodes,my_score,my_status
190,Gugilta,Mob Psycho 100 II,TV,13,8,Completed
193,Gugilta,Monster,TV,74,8,Completed
229,Gugilta,Psycho-Pass,TV,22,8,Completed
231,Gugilta,Psycho-Pass 3,TV,8,8,Completed
239,Gugilta,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,8,Completed
242,Gugilta,ReLIFE,TV,13,8,Completed
245,Gugilta,Saiki Kusuo no Ψ-nan 2,TV,24,8,Completed
262,Gugilta,Shingeki no Kyojin,TV,25,8,Completed
264,Gugilta,Shingeki no Kyojin Season 2,TV,12,8,Completed
265,Gugilta,Shingeki no Kyojin Season 3,TV,12,8,Completed
266,Gugilta,Shingeki no Kyojin Season 3 Part 2,TV,10,8,Completed
272,Gugilta,Shokugeki no Souma,TV,24,8,Completed
273,Gugilta,Shokugeki no Souma: Gou no Sara,TV,13,8,Completed
274,Gugilta,Shokugeki no Souma: Ni no Sara,TV,13,8,Completed
284,Gugilta,Steins;Gate 0,TV,23,8,Completed
317,Gugilta,Violet Evergarden,TV,13,8,Completed
323,Gugilta,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,8,Completed
326,Gugilta,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,8,Completed
328,Gugilta,Yakusoku no Neverland,TV,12,8,Completed
161,Gugilta,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,Movie,1,9,Completed
171,Gugilta,Liz to Aoi Tori,Movie,1,9,Completed
218,Gugilta,Ookami Kodomo no Ame to Yuki,Movie,1,9,Completed
254,Gugilta,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,9,Completed
258,Gugilta,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,9,Completed
80,Gugilta,Great Pretender,ONA,23,9,Completed
14,Gugilta,Ansatsu Kyoushitsu 2nd Season,TV,25,9,Completed
49,Gugilta,Death Note,TV,37,9,Completed
85,Gugilta,Haikyuu!!,TV,25,9,Completed
86,Gugilta,Haikyuu!! Second Season,TV,25,9,Completed
87,Gugilta,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,9,Completed
89,Gugilta,Haikyuu!!: To the Top,TV,13,9,Completed
90,Gugilta,Haikyuu!!: To the Top 2nd Season,TV,12,9,Completed
96,Gugilta,Hibike! Euphonium,TV,13,9,Completed
97,Gugilta,Hibike! Euphonium 2,TV,13,9,Completed
134,Gugilta,Kaze ga Tsuyoku Fuiteiru,TV,23,9,Completed
138,Gugilta,Kill la Kill,TV,24,9,Completed
154,Gugilta,Kono Oto Tomare!,TV,13,9,Completed
